F,T,M
0.4446601941747573,0.7854545454545454,PFN.SR._
0.44660194174757284,0.7854545454545454,PFN.SR._
0.44660194174757284,0.7890909090909091,PFN.SR._
0.4475728155339806,0.7890909090909091,PFN.SR._
0.4475728155339806,0.7909090909090909,PFN.SR._
0.4495145631067961,0.7909090909090909,PFN.SR._
0.4495145631067961,0.7945454545454546,PFN.SR._
0.45048543689320386,0.7945454545454546,PFN.SR._
0.45048543689320386,0.7963636363636364,PFN.SR._
0.4533980582524272,0.7963636363636364,PFN.SR._
0.4533980582524272,0.7981818181818182,PFN.SR._
0.4563106796116505,0.7981818181818182,PFN.SR._
0.4563106796116505,0.8,PFN.SR._
0.45728155339805826,0.8,PFN.SR._
0.45728155339805826,0.8036363636363636,PFN.SR._
0.45922330097087377,0.8036363636363636,PFN.SR._
0.45922330097087377,0.8054545454545454,PFN.SR._
0.46116504854368934,0.8054545454545454,PFN.SR._
0.46116504854368934,0.8072727272727273,PFN.SR._
0.46310679611650485,0.8072727272727273,PFN.SR._
0.46310679611650485,0.8109090909090909,PFN.SR._
0.4650485436893204,0.8109090909090909,PFN.SR._
0.4650485436893204,0.8145454545454546,PFN.SR._
0.46601941747572817,0.8145454545454546,PFN.SR._
0.46601941747572817,0.8181818181818182,PFN.SR._
0.4679611650485437,0.8181818181818182,PFN.SR._
0.4679611650485437,0.82,PFN.SR._
0.4728155339805825,0.82,PFN.SR._
0.4728155339805825,0.8272727272727273,PFN.SR._
0.4747572815533981,0.8272727272727273,PFN.SR._
0.4747572815533981,0.8309090909090909,PFN.SR._
0.47766990291262135,0.8309090909090909,PFN.SR._
0.47766990291262135,0.8345454545454546,PFN.SR._
0.4786407766990291,0.8345454545454546,PFN.SR._
0.4786407766990291,0.8363636363636363,PFN.SR._
0.4796116504854369,0.8363636363636363,PFN.SR._
0.4796116504854369,0.8381818181818181,PFN.SR._
0.48058252427184467,0.8381818181818181,PFN.SR._
0.48058252427184467,0.84,PFN.SR._
0.4854368932038835,0.84,PFN.SR._
0.4854368932038835,0.8418181818181818,PFN.SR._
0.487378640776699,0.8418181818181818,PFN.SR._
0.487378640776699,0.8454545454545455,PFN.SR._
0.49514563106796117,0.8454545454545455,PFN.SR._
0.49514563106796117,0.850909090909091,PFN.SR._
0.4970873786407767,0.850909090909091,PFN.SR._
0.4970873786407767,0.8527272727272728,PFN.SR._
0.5009708737864078,0.8527272727272728,PFN.SR._
0.5009708737864078,0.8545454545454545,PFN.SR._
0.5019417475728155,0.8545454545454545,PFN.SR._
0.5019417475728155,0.8563636363636363,PFN.SR._
0.5029126213592233,0.8563636363636363,PFN.SR._
0.5029126213592233,0.8581818181818182,PFN.SR._
0.503883495145631,0.8581818181818182,PFN.SR._
0.503883495145631,0.86,PFN.SR._
0.5087378640776699,0.86,PFN.SR._
0.5087378640776699,0.8636363636363636,PFN.SR._
0.5097087378640777,0.8636363636363636,PFN.SR._
0.5097087378640777,0.8672727272727273,PFN.SR._
0.5116504854368932,0.8672727272727273,PFN.SR._
0.5116504854368932,0.8709090909090909,PFN.SR._
0.512621359223301,0.8709090909090909,PFN.SR._
0.512621359223301,0.8727272727272727,PFN.SR._
0.5155339805825243,0.8727272727272727,PFN.SR._
0.5155339805825243,0.8763636363636363,PFN.SR._
0.5203883495145631,0.8763636363636363,PFN.SR._
0.5203883495145631,0.8781818181818182,PFN.SR._
0.5213592233009708,0.8781818181818182,PFN.SR._
0.5213592233009708,0.88,PFN.SR._
0.5262135922330097,0.88,PFN.SR._
0.5262135922330097,0.8818181818181818,PFN.SR._
0.5271844660194175,0.8818181818181818,PFN.SR._
0.5271844660194175,0.8854545454545455,PFN.SR._
0.5300970873786408,0.8854545454545455,PFN.SR._
0.5300970873786408,0.8872727272727273,PFN.SR._
0.5310679611650485,0.8872727272727273,PFN.SR._
0.5310679611650485,0.889090909090909,PFN.SR._
0.5330097087378641,0.889090909090909,PFN.SR._
0.5330097087378641,0.8909090909090909,PFN.SR._
0.5349514563106796,0.8909090909090909,PFN.SR._
0.5349514563106796,0.8927272727272727,PFN.SR._
0.5359223300970873,0.8927272727272727,PFN.SR._
0.5359223300970873,0.8945454545454545,PFN.SR._
0.5368932038834952,0.8945454545454545,PFN.SR._
0.5368932038834952,0.8963636363636364,PFN.SR._
0.5388349514563107,0.8963636363636364,PFN.SR._
0.5388349514563107,0.8981818181818182,PFN.SR._
0.5407766990291262,0.8981818181818182,PFN.SR._
0.5407766990291262,0.9,PFN.SR._
0.5436893203883495,0.9,PFN.SR._
0.5436893203883495,0.9018181818181819,PFN.SR._
0.5504854368932038,0.9018181818181819,PFN.SR._
0.5504854368932038,0.9036363636363637,PFN.SR._
0.5592233009708738,0.9036363636363637,PFN.SR._
0.5592233009708738,0.9054545454545454,PFN.SR._
0.5660194174757281,0.9054545454545454,PFN.SR._
0.5660194174757281,0.9072727272727272,PFN.SR._
0.5728155339805825,0.9072727272727272,PFN.SR._
0.5728155339805825,0.9090909090909091,PFN.SR._
0.5737864077669903,0.9090909090909091,PFN.SR._
0.5737864077669903,0.9127272727272727,PFN.SR._
0.574757281553398,0.9127272727272727,PFN.SR._
0.574757281553398,0.9145454545454546,PFN.SR._
0.5854368932038835,0.9145454545454546,PFN.SR._
0.5854368932038835,0.9181818181818182,PFN.SR._
0.5912621359223301,0.9181818181818182,PFN.SR._
0.5912621359223301,0.92,PFN.SR._
0.5922330097087378,0.92,PFN.SR._
0.5922330097087378,0.9236363636363636,PFN.SR._
0.6029126213592233,0.9236363636363636,PFN.SR._
0.6029126213592233,0.9254545454545454,PFN.SR._
0.6116504854368932,0.9254545454545454,PFN.SR._
0.6116504854368932,0.9272727272727272,PFN.SR._
0.6135922330097088,0.9272727272727272,PFN.SR._
0.6135922330097088,0.9290909090909091,PFN.SR._
0.6203883495145631,0.9290909090909091,PFN.SR._
0.6203883495145631,0.9309090909090909,PFN.SR._
0.625242718446602,0.9309090909090909,PFN.SR._
0.625242718446602,0.9327272727272727,PFN.SR._
0.6271844660194175,0.9327272727272727,PFN.SR._
0.6271844660194175,0.9363636363636364,PFN.SR._
0.629126213592233,0.9363636363636364,PFN.SR._
0.629126213592233,0.9381818181818182,PFN.SR._
0.6485436893203883,0.9381818181818182,PFN.SR._
0.6485436893203883,0.94,PFN.SR._
0.6533980582524271,0.94,PFN.SR._
0.6533980582524271,0.9418181818181818,PFN.SR._
0.6669902912621359,0.9418181818181818,PFN.SR._
0.6669902912621359,0.9436363636363636,PFN.SR._
0.670873786407767,0.9436363636363636,PFN.SR._
0.670873786407767,0.9454545454545454,PFN.SR._
0.6757281553398058,0.9454545454545454,PFN.SR._
0.6757281553398058,0.9472727272727273,PFN.SR._
0.6766990291262136,0.9472727272727273,PFN.SR._
0.6766990291262136,0.9490909090909091,PFN.SR._
0.6922330097087379,0.9490909090909091,PFN.SR._
0.6922330097087379,0.9509090909090909,PFN.SR._
0.7,0.9509090909090909,PFN.SR._
0.7,0.9527272727272728,PFN.SR._
0.7019417475728156,0.9527272727272728,PFN.SR._
0.7019417475728156,0.9545454545454546,PFN.SR._
0.7155339805825243,0.9545454545454546,PFN.SR._
0.7155339805825243,0.9563636363636364,PFN.SR._
0.7281553398058253,0.9563636363636364,PFN.SR._
0.7281553398058253,0.9581818181818181,PFN.SR._
0.7320388349514563,0.9581818181818181,PFN.SR._
0.7320388349514563,0.96,PFN.SR._
0.7533980582524272,0.96,PFN.SR._
0.7533980582524272,0.9618181818181818,PFN.SR._
0.7572815533980582,0.9618181818181818,PFN.SR._
0.7572815533980582,0.9636363636363636,PFN.SR._
0.7834951456310679,0.9636363636363636,PFN.SR._
0.7834951456310679,0.9654545454545455,PFN.SR._
0.7854368932038835,0.9654545454545455,PFN.SR._
0.7854368932038835,0.9672727272727273,PFN.SR._
0.7932038834951456,0.9672727272727273,PFN.SR._
0.7932038834951456,0.9690909090909091,PFN.SR._
0.7980582524271844,0.9690909090909091,PFN.SR._
0.7980582524271844,0.9709090909090909,PFN.SR._
0.7990291262135922,0.9709090909090909,PFN.SR._
0.7990291262135922,0.9727272727272728,PFN.SR._
0.8029126213592233,0.9727272727272728,PFN.SR._
0.8029126213592233,0.9745454545454545,PFN.SR._
0.8048543689320389,0.9745454545454545,PFN.SR._
0.8048543689320389,0.9781818181818182,PFN.SR._
0.8106796116504854,0.9781818181818182,PFN.SR._
0.8106796116504854,0.98,PFN.SR._
0.8126213592233009,0.98,PFN.SR._
0.8126213592233009,0.9836363636363636,PFN.SR._
0.8194174757281554,0.9836363636363636,PFN.SR._
0.8194174757281554,0.9872727272727273,PFN.SR._
0.8213592233009709,0.9872727272727273,PFN.SR._
0.8213592233009709,0.9890909090909091,PFN.SR._
0.8970873786407767,0.9890909090909091,PFN.SR._
0.8970873786407767,0.990909090909091,PFN.SR._
0.9009708737864077,0.990909090909091,PFN.SR._
0.9009708737864077,0.9927272727272727,PFN.SR._
0.903883495145631,0.9927272727272727,PFN.SR._
0.903883495145631,0.9945454545454545,PFN.SR._
0.9194174757281554,0.9945454545454545,PFN.SR._
0.9194174757281554,0.9963636363636363,PFN.SR._
0.9223300970873787,0.9963636363636363,PFN.SR._
0.9223300970873787,0.9981818181818182,PFN.SR._
0.9310679611650485,0.9981818181818182,PFN.SR._
