"","M","AUC"
"315","SVM.SRO.linear.10",0.535816885964912
"316","SVM.SRO.poly.0.1",0.453497807017544
"317","SVM.SRO.poly.1",0.456474780701754
"318","SVM.SRO.poly.10",0.463360745614035
"319","SVM.SRO.rbf.0.1",0.479325657894737
"320","SVM.SRO.rbf.1",0.455285087719298
"321","SVM.SRO.rbf.10",0.443684210526316
"322","SVM.SRO.sigmoid.0.1",0.460860745614035
"323","SVM.SRO.sigmoid.1",0.445339912280702
"324","SVM.SRO.sigmoid.10",0.441847587719298
