"","M","AUC"
"160","SVM.S.sigmoid",0.711174438214065
"161","SVM.SO.linear",0.803265616917344
"162","SVM.SO.poly",0.849146443587214
"163","SVM.SO.rbf",0.824895105730824
"164","SVM.SO.sigmoid",0.541321409347646
"165","SVM.SR.linear",0.826825676236281
"166","SVM.SR.poly",0.771235465603047
"167","SVM.SR.rbf",0.826099679299366
"168","SVM.SR.sigmoid",0.628387155004098
"169","SVM.SRO.linear",0.799312654285092
"170","SVM.SRO.poly",0.781617551272048
"171","SVM.SRO.rbf",0.846250140517347
"172","SVM.SRO.sigmoid",0.635688969262919
